Product ID,candidate_location,current_avg_lead_time,candidate_avg_lead_time,current_median_lead_time,candidate_median_lead_time,lead_time_improvement_days,lead_time_improvement_pct,candidate_records,candidate_total_sales,candidate_total_profit,current_total_sales,current_total_profit,profit_difference,reliability_score,candidate_score,recommendation_rank,product_records,current_total_units,estimated_profit_change,lead_time_improvement_per_record,risk_level,estimated_units_affected,estimated_lead_time_days_saved,record_coverage_pct,operational_benefit_score,decision_score,recommendation_type
CHO-SCR-58000,Massachusetts_Atlantic,4.248546511627907,3.125,4.0,3.0,1.1235465116279073,26.445432774546706,24,334.8,232.5,27874.8,19357.5,-19125.0,3.218875824868201,85.12456423616557,1,2064,7743,-19125.0,0.04681443798449614,Medium,7743,26.965116279069775,1.1627906976744187,111.5699970107123,81.55492591574071,Strong Reallocation Candidate
CHO-SCR-58000,Ohio_Atlantic,4.248546511627907,3.5,4.0,3.0,0.7485465116279073,17.618884707492306,90,1263.6,877.5,27874.8,19357.5,-18480.0,4.51085950651685,79.47631357701601,2,2064,7743,-18480.0,0.008317183462532303,Low,7743,67.36918604651166,4.3604651162790695,97.09519828450831,73.26258623861477,Strong Reallocation Candidate
CHO-MIL-31000,Ohio_Atlantic,4.381375760411792,3.7888888888888888,5.0,4.0,0.5924868715229037,13.522849988726318,90,1066.0,692.08,26867.75,17443.37,-16751.289999999997,4.51085950651685,60.99967642684739,3,2137,8267,-16751.289999999997,0.006583187461365597,Low,8267,53.323818437061334,4.211511464670098,74.52252641557371,56.40346842877509,High Potential
CHO-TRI-54000,Ohio_Atlantic,4.311166253101737,3.808080808080808,4.0,4.0,0.503085445020929,11.669358486441487,99,1413.75,923.65,28485.0,18610.2,-17686.55,4.605170185988092,53.73938179136746,4,2015,7596,-17686.55,0.0050816711618275655,Low,7596,49.80545905707197,4.913151364764268,65.40874027780895,49.808814949267564,High Potential
CHO-SCR-58000,Colorado_Pacific,4.248546511627907,3.7111111111111112,4.0,4.0,0.5374354005167961,12.64986505492835,45,669.6,465.0,27874.8,19357.5,-18892.5,3.828641396489095,48.43179700929948,5,2064,7743,-18892.5,0.011943008900373246,Medium,7743,24.18459302325582,2.1802325581395348,61.08166206422783,45.50641664653166,High Potential
CHO-SCR-58000,Virginia_Gulf,4.248546511627907,3.7142857142857135,4.0,4.0,0.5342607973421938,12.575142954889815,35,518.4,360.0,27874.8,19357.5,-18997.5,3.58351893845611,45.063262932640505,6,2064,7743,-18997.5,0.015264594209776966,Medium,7743,18.699127906976784,1.695736434108527,57.638405887530396,42.677329110379056,High Potential
CHO-MIL-31000,Colorado_Pacific,4.381375760411792,3.8684210526315783,5.0,4.0,0.5129547077802141,11.707617329128672,38,494.0,320.72,26867.75,17443.37,-17122.649999999998,3.6635616461296463,42.89157781455857,7,2137,8267,-17122.649999999998,0.01349880809947932,Medium,8267,19.492278895648138,1.7781937295273749,54.59919514368728,40.52270966211669,High Potential
CHO-FUD-51000,Indiana_Interior,4.284928492849285,3.769230769230769,4.0,4.0,0.5156977236185156,12.035153549916066,26,331.2,220.8,24890.4,16593.6,-16372.8,3.295836866004329,39.66590275783624,8,1818,6914,-16372.8,0.01983452783148137,Medium,6914,13.408140814081406,1.4301430143014302,51.70105630775231,38.03632758408731,High Potential
CHO-NUT-13000,Michigan_Interior,4.258011049723757,3.869565217391304,4.0,4.0,0.3884458323324531,9.122706066196185,46,642.16,458.16,23574.95,16819.95,-16361.79,3.8501476017100575,35.12376488187105,9,1810,6755,-16361.79,0.008444474615922893,Medium,6755,17.868508287292844,2.541436464088398,44.24647094806723,33.1686522314126,High Potential
CHO-SCR-58000,California_Pacific,4.248546511627907,4.03,4.0,4.0,0.21854651162790706,5.144030106055424,400,5302.8,3682.5,27874.8,19357.5,-15675.0,5.993961427306569,30.83311803659993,10,2064,7743,-15675.0,0.0005463662790697677,Very Low,7743,87.41860465116282,19.379844961240313,35.97714814265535,31.114478474555717,Moderate Potential
CHO-NUT-13000,Ohio_Atlantic,4.258011049723757,3.95,4.0,4.0,0.30801104972375715,7.23368366420138,80,1067.94,761.94,23574.95,16819.95,-16058.01,4.394449154672439,31.788055063317582,11,1810,6755,-16058.01,0.0038501381215469642,Low,6755,24.64088397790057,4.41988950276243,39.021738727518965,29.931263783307244,Moderate Potential
CHO-FUD-51000,Ohio_Atlantic,4.284928492849285,4.010869565217392,4.0,4.0,0.2740589276318932,6.395881006864979,92,1141.2,760.8,24890.4,16593.6,-15832.8,4.532599493153256,28.989967009984746,12,1818,6914,-15832.8,0.0029789013873031873,Low,6914,25.213421342134176,5.060506050605061,35.38584801684972,27.402015321541295,Moderate Potential
CHO-TRI-54000,Arizona_Pacific,4.311166253101737,4.0,4.0,4.0,0.31116625310173696,7.217681593185218,55,825.0,539.0,28485.0,18610.2,-18071.2,4.02535169073515,29.05370680431609,13,2015,7596,-18071.2,0.0056575682382133995,Low,7596,17.11414392059553,2.729528535980149,36.271388397501305,27.397711947241508,Moderate Potential
CHO-TRI-54000,Colorado_Pacific,4.311166253101737,3.96875,4.0,4.0,0.34241625310173696,7.94254345573846,32,412.5,269.5,28485.0,18610.2,-18340.7,3.49650756146648,27.771163250265637,14,2015,7596,-18340.7,0.01070050790942928,Medium,7596,10.957320099255583,1.5880893300248138,35.71370670600409,26.5058201940867,Moderate Potential
CHO-NUT-13000,California_Pacific,4.258011049723757,4.079019073569483,4.0,4.0,0.17899197615427465,4.2036522231638385,367,4781.3,3411.3,23574.95,16819.95,-13408.65,5.908082938168931,24.83552597767017,15,1810,6755,-13408.650000000001,0.0004877165562786775,Very Low,6755,65.69005524861879,20.276243093922652,29.03917820083401,26.025495512502587,Moderate Potential
CHO-FUD-51000,Georgia_Gulf,4.284928492849285,3.9615384615384617,4.0,5.0,0.3233900313108231,7.5471511800138185,26,284.4,189.6,24890.4,16593.6,-16404.0,3.295836866004329,24.87417909239762,16,1818,6914,-16404.0,0.01243807812733935,Medium,6914,8.408140814081401,1.4301430143014302,32.42133027241144,23.95894746678529,Moderate Potential
OTH-KAZ-38000,California_Pacific,3.9895833333333335,3.75,4.0,4.0,0.23958333333333348,6.005221932114886,20,211.25,16.25,1205.75,92.75,-76.5,3.044522437723423,18.283032915832575,17,96,371,-76.5,0.011979166666666674,Medium,371,4.79166666666667,20.833333333333336,24.28825484794746,21.79570396539017,Moderate Potential
CHO-FUD-51000,Texas_Interior,4.284928492849285,4.111111111111111,4.0,4.0,0.17381738173817407,4.056482670089865,180,2534.4,1689.6,24890.4,16593.6,-14903.999999999998,5.198497031265826,21.08761311784344,18,1818,6914,-14903.999999999998,0.0009656521207676337,Very Low,6914,31.287128712871333,9.900990099009901,25.144095787933303,20.878529849121662,Moderate Potential
CHO-NUT-13000,Pennsylvania_Atlantic,4.258011049723757,4.069306930693069,4.0,4.0,0.18870411903068796,4.431743291106074,101,1238.95,883.95,23574.95,16819.95,-15936.0,4.624972813284271,20.496692236820557,19,1810,6755,-15936.0,0.0018683576141652273,Very Low,6755,19.059116022099484,5.580110497237569,24.928435527926627,19.729247534456995,Moderate Potential
CHO-MIL-31000,Georgia_Gulf,4.381375760411792,4.147058823529412,5.0,5.0,0.2343169368823803,5.348021938669729,34,464.75,301.73,26867.75,17443.37,-17141.64,3.555348061489413,19.014079432452277,20,2137,8267,-17141.64,0.006891674614187656,Medium,8267,7.966775854000931,1.5910154422087037,24.362101371122,18.203477603738424,Moderate Potential
CHO-FUD-51000,Florida_Gulf,4.284928492849285,4.095890410958904,4.0,4.0,0.18903808189038074,4.411697469534174,73,975.6,650.4,24890.4,16593.6,-15943.2,4.30406509320417,18.98823308039921,21,1818,6914,-15943.199999999999,0.002589562765621654,Low,6914,13.799779977997794,4.0154015401540155,23.399930549933384,18.19951550711726,Moderate Potential
